Time,Pattern
0:00~0:03,3
0:05.6~0:06.5,6
0:08.2~0:11.0,2
0:13~0:14,2
0:15.5~0:17.5,3
0:20~0:21.5,6
0:22~0:25,2
0:27~0:29,2
0:29.5~0:33,3
0:34~0:37,6
0:37~0:40,2
0:41~0:44,2
0:44~0:47,3
0:48~0:51,6
0:51~0:55,2
0:56~0:57.5,2
0:58.5~01:02,5
1:03.5~01:05.0,2
01:05.5~01:09.5,4
01:13~01:16,2
01:16~01:20,2
01:20~01:23,3
01:26~01:28.5,4
01:28.4~01:35,1
01:36~01:42,1
01:42~01:43.1,4
01:45.5~01:46.5,2
01:48.5~01:49.8,3
01:52.5~01:54,6
01:55~01:57,2
01:58~02:00,2
02:01~02:04.5,2
02:04.5~02:07.5,2
02:07.5~02:10.5,2
02:12.5~02:14,3
02:16~02:17.5,3
02:20~02:21,6
02:22~02:24,2
02:24.5~02:28,2
02:28~02:30.5,2
02:30.5~02:38,4
02:38~02:40,1
02:40.1~02:42.5,1
02:42.8~02:45.2,1
02:45.3~02:47.8,1
02:47.8~02:50.3,5
02:50.3~02:52.9,5
02:52.8~02:55.4,5
02:55.4~02:58.0,5
02:58~03:01,4
03:03.5~03:04.8,4
03:04.8~03:08.3,4
03:08.3~03:09,2
03:11~03:12,2
03:15~03:16,2
03:18.5~03:19.5,2
03:22~03:23,2
03:24.5~03:26,6
03:28.7~03:29.8,2
03:31.5~03:32.8,6
03:37~03:39,2
03:38.8~03:42.5,1
03:42.4~03:44.8,1
03:45.9~03:52.3,1
03:53~03:58.8,1
03:59~04:00.5,6
04:02.5~04:04.5,2
04:04.5~04:08.5,3
04:10~04:11.5,6
04:12.6~04:13,2
04:13.6~04:14.2,2
04:19.7~04:22.5,4
04:23.4~04:25.5,7
04:26.8~04:28.7,7
04:30.8~04:32.5,2
04:33.5~04:36.3,4
04:36.4~04:39.3,7
04:39.3~04:41.5,3
04:47~04:48.4,2
04:50.8~04:51.6,6
04:54~04:54.5,2
04:54.7~04:55.3,2
04:57.8~04:58.5,2
